0 774 795
500 727 738
1000 703 712
1500 687 700
2000 673 683
2500 658 673
3000 651 667
3500 644 659
4000 640 659
4500 637 657
5000 632 653
5500 632 650
6000 623 641
6500 607 634
7000 602 630
7500 598 627
8000 594 613
8500 591 617
9000 584 618
9500 579 604
10000 578 616
10500 574 607
11000 569 607
11500 562 599
12000 558 591
12500 552 589
13000 552 596
13500 549 593
14000 544 591
14500 544 586
15000 543 577
15500 538 584
16000 530 578
16500 525 572
17000 525 574
17500 522 577
18000 521 576
18500 519 552
19000 517 570
19500 510 573
20000 507 543
20500 504 581
21000 500 547
21500 498 558
22000 493 544
22500 489 562
23000 486 535
23500 485 543
24000 478 530
24500 476 540
25000 474 541
25500 472 553
26000 468 542
26500 464 532
27000 461 520
27500 461 520
28000 458 513
28500 449 519
29000 445 517
29500 444 525
30000 442 523
30500 439 518
31000 432 502
31500 430 501
32000 426 503
32500 421 495
33000 419 492
33500 418 507
34000 417 473
34500 408 489
35000 405 496
35500 405 521
36000 401 488
36500 400 469
37000 399 476
37500 395 472
38000 395 510
38500 391 474
39000 390 496
39500 378 462
40000 375 495
40500 372 466
41000 370 480
41500 369 476
42000 366 455
42500 366 471
43000 364 468
43500 363 468
44000 362 460
44500 361 458
45000 356 437
45500 354 467
46000 353 437
46500 352 448
47000 349 438
47500 349 464
48000 349 469
48500 348 462
49000 344 423
49500 341 435
50000 340 448
50500 339 439
51000 336 438
51500 335 431
52000 334 452
52500 333 452
53000 333 417
53500 333 415
54000 331 469
54500 330 451
55000 329 471
55500 329 450
56000 325 443
56500 321 433
57000 317 458
57500 317 417
58000 317 437
58500 316 452
59000 313 414
59500 312 398
60000 312 451
60500 312 472
61000 312 411
61500 311 447
62000 310 430
62500 309 438
63000 309 421
63500 308 422
64000 308 442
64500 308 446
65000 307 423
65500 305 415
66000 305 413
66500 304 437
67000 303 418
67500 303 434
68000 303 430
68500 302 440
69000 301 427
69500 300 441
70000 299 401
70500 295 416
71000 295 401
71500 295 419
72000 294 427
72500 294 416
73000 293 451
73500 292 398
74000 292 425
74500 288 401
75000 287 428
75500 286 404
76000 286 421
76500 286 383
77000 284 407
77500 283 405
78000 283 418
78500 283 400
79000 281 390
79500 281 393
80000 279 405
80500 279 406
81000 278 418
81500 277 400
82000 277 417
82500 276 368
83000 275 389
83500 275 393
84000 275 422
84500 274 425
85000 274 382
85500 274 384
86000 273 393
86500 271 413
87000 271 391
87500 270 366
88000 269 404
88500 269 386
89000 269 424
89500 269 420
90000 268 400
90500 267 368
91000 267 383
91500 267 397
92000 266 384
92500 266 424
93000 266 389
93500 266 401
94000 264 364
94500 264 404
95000 262 397
95500 260 397
96000 260 417
96500 257 404
97000 257 367
97500 253 369
98000 251 379
98500 249 396
99000 248 360
99500 247 363
100000 246 395
100500 245 383
101000 245 397
101500 245 387
102000 244 362
102500 244 386
103000 243 371
103500 243 378
104000 242 406
104500 242 368
105000 241 386
105500 240 356
106000 240 385
106500 240 373
107000 239 393
107500 238 369
108000 238 363
108500 237 370
109000 236 373
109500 236 369
110000 236 376
110500 236 358
111000 233 367
111500 232 366
112000 232 370
112500 232 388
113000 232 401
113500 232 385
114000 232 387
114500 232 404
115000 232 369
115500 232 385
116000 232 396
116500 230 377
117000 230 361
117500 230 370
118000 230 355
118500 229 367
119000 228 393
119500 226 379
120000 226 344
120500 226 365
121000 226 373
121500 225 369
122000 225 376
122500 222 352
123000 221 379
123500 221 364
124000 220 346
124500 219 387
125000 218 402
125500 218 344
126000 218 374
126500 218 372
127000 217 343
127500 217 354
128000 216 370
128500 216 333
129000 216 348
129500 216 358
130000 215 357
130500 214 358
131000 214 373
131500 214 359
132000 213 395
132500 213 359
133000 213 359
133500 212 375
134000 210 345
134500 210 339
135000 209 374
135500 209 360
136000 209 363
136500 208 334
137000 208 330
137500 208 376
138000 208 342
138500 208 343
139000 208 378
139500 207 366
140000 206 348
140500 206 339
141000 205 368
141500 205 371
142000 205 333
142500 205 365
143000 205 364
143500 205 336
144000 205 393
144500 205 351
145000 205 369
145500 204 373
146000 204 339
146500 204 341
147000 204 355
147500 202 338
148000 202 383
148500 201 341
149000 201 318
149500 200 360
150000 200 331
150500 200 362
151000 200 354
151500 200 357
152000 200 356
152500 199 374
153000 199 363
153500 199 339
154000 199 353
154500 199 351
155000 199 307
155500 199 306
156000 199 323
156500 199 350
157000 198 334
157500 198 334
158000 197 336
158500 196 344
159000 196 354
159500 196 316
160000 196 356
160500 195 357
161000 195 340
161500 195 363
162000 195 366
162500 194 348
163000 194 349
163500 194 318
164000 193 327
164500 193 360
165000 193 343
165500 193 358
166000 193 333
166500 193 354
167000 193 309
167500 192 325
168000 192 395
168500 191 327
169000 191 330
169500 190 339
170000 190 338
170500 190 382
171000 190 325
171500 190 349
172000 190 349
172500 190 348
173000 190 318
173500 189 374
174000 189 312
174500 189 346
175000 189 313
175500 189 337
176000 189 329
176500 189 312
177000 189 346
177500 189 356
178000 189 357
178500 189 380
179000 189 334
179500 189 340
180000 189 398
180500 189 374
181000 189 328
181500 188 366
182000 187 343
182500 187 326
183000 187 365
183500 187 329
184000 187 363
184500 187 328
185000 187 356
185500 187 337
186000 187 326
186500 187 353
187000 187 354
187500 186 327
188000 185 367
188500 183 306
189000 183 354
189500 183 331
190000 183 330
190500 183 335
191000 183 374
191500 183 330
192000 183 352
192500 182 357
193000 182 330
193500 182 354
194000 182 336
194500 182 355
195000 182 341
195500 182 360
196000 181 320
196500 181 322
197000 181 313
197500 181 302
198000 180 373
198500 179 355
199000 179 336
199500 179 328
200000 179 356
200500 178 357
201000 178 339
201500 178 339
202000 178 331
202500 178 339
203000 178 331
203500 178 344
204000 178 318
204500 177 346
205000 177 334
205500 177 300
206000 177 334
206500 176 335
207000 176 376
207500 176 351
208000 176 359
208500 176 314
209000 176 326
209500 176 330
210000 176 315
210500 176 303
211000 176 327
211500 176 345
212000 175 337
212500 175 331
213000 175 333
213500 175 342
214000 174 333
214500 174 310
215000 173 332
215500 173 317
216000 173 332
216500 172 326
217000 172 305
217500 172 341
218000 172 304
218500 172 361
219000 172 367
